V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2034.9747314453125,2036.3585,2035.4021,2036.7045,2035.7074,2034.0997,2037.1318,2036.1958,2034.1405,2033.062,2034.2218,2034.5271,2034.2626,2033.2247
2966.09326171875,2968.704,2972.8018,2976.47,2985.4258,2989.193,2998.273,3006.3157,3010.8638,3015.5999,3023.5952,3023.967,3031.2952,3037.3428
1114.647216796875,1113.7095,1109.5118,1109.8745,1114.0101,1112.8187,1116.9222,1122.9277,1123.1298,1128.5017,1131.6881,1135.4255,1143.3411,1145.0491
1133.34521484375,1127.5387,1109.37,1110.0568,1137.5284,1130.598,1146.8938,1189.6932,1200.1356,1221.7617,1246.4471,1268.2996,1321.9628,1339.8818
5876.82373046875,5884.535,5882.169,5888.2153,5886.2876,5878.138,5893.473,5888.9165,5878.927,5880.6797,5886.2876,5888.566,5889.793,5887.076
3106.22412109375,3098.4387,3084.4248,3070.694,3074.3745,3054.2385,3054.6633,3056.1497,3038.2078,3041.5342,3033.2178,3038.7385,3051.3367,3058.68
5652.740234375,5577.0146,5439.988,5368.5894,5199.109,5075.784,5040.446,4955.3447,4838.151,4907.3853,4755.2134,4788.388,4702.2056,4700.763
1732.654296875,1735.7208,1735.1833,1735.2782,1733.5394,1731.7374,1734.9304,1734.1718,1730.9471,1732.4646,1733.0337,1732.7808,1733.824,1732.3698
1585.374755859375,1587.999,1587.4741,1587.5017,1586.0377,1584.408,1587.1427,1586.6178,1583.8278,1585.2919,1585.7615,1585.5957,1586.7007,1585.5128
2633.739501953125,2632.935,2626.9727,2630.4272,2627.2566,2619.3542,2623.2344,2622.4773,2614.0068,2620.4426,2619.6853,2623.8496,2620.7737,2625.695
2433.906982421875,2431.1765,2426.8264,2421.0615,2417.935,2411.187,2408.0676,2402.6282,2396.531,2396.3896,2390.844,2389.797,2389.1887,2390.448
3653.7353515625,3661.1785,3660.0999,3661.7178,3662.5808,3656.0007,3661.1785,3658.8054,3658.0503,3658.4817,3654.814,3652.225,3655.677,3658.3738
7228.97802734375,7250.623,7251.5127,7256.85,7258.036,7243.507,7255.9604,7247.9546,7250.3267,7247.9546,7238.4663,7229.867,7240.542,7244.9897
5676.802734375,5699.9214,5700.2266,5700.3286,5691.9775,5685.5615,5704.0967,5700.023,5687.3945,5698.699,5702.3657,5699.31,5709.189,5694.218
7920.892578125,8007.78,8033.451,8063.072,8110.465,8013.704,8106.5156,8005.805,8039.375,8063.072,8061.0967,8015.6787,8096.6416,8149.959
3068.56591796875,3068.547,3068.911,3069.4192,3070.335,3072.6438,3073.6946,3074.231,3072.5247,3072.424,3072.468,3072.0227,3070.9436,3067.813
4030.08642578125,4039.5042,4039.9636,4041.5715,4042.2605,4036.7478,4041.916,4038.4705,4039.3894,4038.126,4034.221,4030.546,4034.221,4035.025
9549.63671875,9542.209,9534.087,9526.46,9520.933,9509.895,9502.604,9501.323,9493.049,9492.861,9484.431,9483.057,9487.24,9492.33
2707.687255859375,2719.6965,2717.4448,2718.4456,2711.4402,2702.558,2716.694,2708.0625,2697.6794,2693.1758,2695.6777,2693.0508,2688.5474,2676.0376
10857.125,10873.282,10881.138,10880.916,10878.915,10910.784,10913.712,10919.2705,10925.496,10920.493,10916.75,10910.562,10907.375,10904.1875
